word	count
<SOS>	1
<EOS>	1
<OUT>	1
the	1
.	1
to	1
and	1
of	1
a	1
in	1
's	1
for	1
that	1
is	1
on	1
with	1
said	1
was	1
at	1
not	1
as	1
it	1
be	1
from	1
by	1
are	1
i	1
have	1
he	1
will	1
has	1
<PAD>	1
his	1
an	1
this	1
or	1
their	1
who	1
they	1
but	1
had	1
year	1
were	1
we	1
more	1
up	1
been	1
you	1
its	1
one	1
about	1
would	1
which	1
out	1
can	1
all	1
also	1
two	1
after	1
first	1
do	1
time	1
than	1
when	1
over	1
last	1
new	1
other	1
her	1
people	1
into	1
our	1
there	1
she	1
could	1
just	1
years	1
some	1
three	1
million	1
them	1
what	1
so	1
no	1
like	1
if	1
only	1
percent	1
get	1
?	1
did	1
him	1
game	1
back	1
because	1
now	1
before	1
company	1
any	1
team	1
against	1
off	1
through	1
most	1
made	1
make	1
second	1
state	1
well	1
day	1
season	1
says	1
down	1
week	1
where	1
while	1
your	1
being	1
government	1
home	1
going	1
my	1
good	1
should	1
many	1
way	1
those	1
four	1
may	1
during	1
such	1
very	1
how	1
since	1
work	1
take	1
including	1
high	1
then	1
next	1
much	1
still	1
old	1
go	1
think	1
even	1
world	1
ap	1
per	1
see	1
say	1
business	1
five	1
told	1
under	1
1	1
right	1
us	1
these	1
me	1
between	1
play	1
market	1
help	1
end	1
know	1
long	1
information	1
does	1
points	1
both	1
part	1
around	1
police	1
want	1
based	1
got	1
third	1
school	1
left	1
another	1
need	1
country	1
2	1
use	1
best	1
win	1
quarter	1
today	1
public	1
same	1
run	1
friday	1
set	1
billion	1
month	1
top	1
3	1
tuesday	1
place	1
come	1
monday	1
city	1
night	1
six	1
each	1
thursday	1
wednesday	1
here	1
group	1
really	1
found	1
money	1
used	1
united	1
lot	1
'm	1
american	1
report	1
put	1
games	1
program	1
support	1
half	1
county	1
am	1
family	1
former	1
months	1
number	1
own	1
officials	1
man	1
saturday	1
too	1
better	1
days	1
president	1
!	1
came	1
life	1
lead	1
pm	1
show	1
past	1
took	1
added	1
expected	1
called	1
great	1
services	1
area	1
hit	1
children	1
system	1
looking	1
every	1
service	1
big	1
few	1
point	1
early	1
members	1
sunday	1
start	1
without	1
free	1
companies	1
york	1
little	1
ago	1
case	1
local	1
5	1
never	1
according	1
share	1
sales	1
news	1
until	1
went	1
players	1
financial	1
4	1
won	1
away	1
south	1
several	1
health	1
john	1
already	1
final	1
call	1
held	1
industry	1
line	1
available	1
students	1
power	1
making	1
court	1
full	1
plan	1
north	1
might	1
look	1
least	1
give	1
later	1
forward	1
again	1
must	1
major	1
community	1
things	1
open	1
coach	1
national	1
announced	1
reported	1
record	1
law	1
university	1
able	1
working	1
something	1
future	1
meeting	1
march	1
far	1
keep	1
deal	1
development	1
china	1
office	1
site	1
find	1
times	1
security	1
led	1
among	1
june	1
job	1
cost	1
increase	1
head	1
whether	1
change	1
less	1
growth	1
tax	1
water	1
seven	1
states	1
oil	1
results	1
lost	1
6	1
pay	1
provide	1
plans	1
products	1
hard	1
include	1
director	1
care	1
car	1
economic	1
house	1
recent	1
women	1
close	1
different	1
across	1
always	1
april	1
important	1
7	1
continue	1
late	1
within	1
decision	1
current	1
along	1
played	1
price	1
move	1
enough	1
side	1
become	1
loss	1
level	1
near	1
prices	1
department	1
getting	1
event	1
washington	1
small	1
board	1
leading	1
fourth	1
shot	1
west	1
taken	1
field	1
goal	1
real	1
center	1
weeks	1
data	1
men	1
asked	1
party	1
eight	1
political	1
july	1
started	1
period	1
interest	1
federal	1
done	1
behind	1
technology	1
minutes	1
taking	1
8	1
project	1
issue	1
rate	1
though	1
having	1
scored	1
likely	1
strong	1
series	1
performance	1
america	1
military	1
iraq	1
seen	1
trying	1
process	1
coming	1
management	1
building	1
chief	1
saying	1
due	1
earlier	1
believe	1
statement	1
given	1
term	1
customers	1
following	1
others	1
international	1
economy	1
return	1
bush	1
thing	1
killed	1
further	1
low	1
release	1
however	1
doing	1
face	1
offer	1
hours	1
higher	1
average	1
control	1
yet	1
together	1
once	1
cent	1
known	1
career	1
9	1
global	1
name	1
received	1
visit	1
race	1
teams	1
fire	1
countries	1
using	1
experience	1
ever	1
playing	1
possible	1
round	1
media	1
